trip_id,stop_id
0-56A-y12-1.67.I,0352
0-56A-y12-1.67.I,0353
0-56A-y12-1.67.I,0354
0-56A-y12-1.68.O,0395
0-56A-y12-1.68.O,0396
0-56A-y12-1.68.O,0397
0-56A-y12-1.68.O,0398
0-56A-y12-1.68.O,0399
0-56A-y12-1.68.O,0400
0-56A-y12-1.68.O,4522
0-56A-y12-1.68.O,1934
0-56A-y12-1.68.O,2310
0-56A-y12-1.68.O,2311
0-56A-y12-1.68.O,2312
0-56A-y12-1.68.O,2313
0-56A-y12-1.68.O,2314
0-56A-y12-1.68.O,2315
0-56A-y12-1.68.O,2094
0-56A-y12-1.68.O,1406
0-56A-y12-1.68.O,1407
0-56A-y12-1.68.O,1409
0-56A-y12-1.68.O,2095
0-56A-y12-1.68.O,2096
0-56A-y12-1.68.O,2097
0-56A-y12-1.68.O,2099
0-56A-y12-1.68.O,2101
0-56A-y12-1.68.O,2102
0-56A-y12-1.68.O,2726
0-56A-y12-1.68.O,2727
0-56A-y12-1.68.O,2105
0-56A-y12-1.68.O,2728
0-56A-y12-1.68.O,2729
0-56A-y12-1.68.O,2730
0-56A-y12-1.68.O,6083
0-56A-y12-1.68.O,2733
0-56A-y12-1.68.O,2734
0-56A-y12-1.68.O,5169
0-56A-y12-1.68.O,2735
0-56A-y12-1.68.O,2736
0-56A-y12-1.68.O,2725
0-56A-y12-1.68.O,2737
0-56A-y12-1.68.O,2738
0-56A-y12-1.68.O,2739
0-56A-y12-1.68.O,7177
0-56A-y12-1.68.O,2740
0-56A-y12-1.68.O,2741
0-56A-y12-1.68.O,2742
0-56A-y12-1.68.O,2743
0-56A-y12-1.68.O,2745
0-56A-y12-1.68.O,2746
0-56A-y12-1.68.O,2747
0-56A-y12-1.68.O,2748
0-56A-y12-1.68.O,7062
0-56A-y12-1.68.O,6075
0-56A-y12-1.68.O,2631
0-56A-y12-1.68.O,2359
0-56A-y12-1.68.O,2360
0-56A-y12-1.68.O,4340
0-75-y12-1.78.O,4342
0-75-y12-1.78.O,4348
0-75-y12-1.78.O,4646
0-75-y12-1.78.O,4647
0-75-y12-1.78.O,4435
0-75-y12-1.78.O,2605
0-75-y12-1.78.O,2538
0-75-y12-1.78.O,2539
0-75-y12-1.78.O,2540
0-75-y12-1.78.O,2542
0-75-y12-1.78.O,6128
0-75-y12-1.78.O,2544
0-75-y12-1.78.O,2545
0-75-y12-1.78.O,2547
0-75-y12-1.78.O,2548
0-75-y12-1.78.O,0946
0-75-y12-1.78.O,1131
0-75-y12-1.78.O,1132
0-75-y12-1.78.O,1133
0-75-y12-1.78.O,1134
0-75-y12-1.78.O,5131
0-75-y12-1.78.O,5132
0-75-y12-1.78.O,1305
0-75-y12-1.78.O,1306
0-75-y12-1.78.O,1307
0-75-y12-1.78.O,1308
0-75-y12-1.78.O,1309
0-75-y12-1.78.O,4332
0-75-y12-1.78.O,4333
0-75-y12-1.78.O,4334
0-75-y12-1.78.O,4712
0-75-y12-1.78.O,2853
0-75-y12-1.78.O,2854
0-75-y12-1.78.O,2855
0-75-y12-1.78.O,2856
0-75-y12-1.78.O,2857
0-75-y12-1.78.O,2858
0-75-y12-1.78.O,2859
0-75-y12-1.78.O,2861
0-75-y12-1.78.O,2862
0-75-y12-1.78.O,2863
0-75-y12-1.78.O,2864
0-75-y12-1.78.O,4486
0-75-y12-1.78.O,4586
0-75-y12-1.78.O,2872
0-75-y12-1.78.O,2873
0-75-y12-1.78.O,2874
0-75-y12-1.78.O,2877
0-75-y12-1.78.O,7394
0-75-y12-1.78.O,2878
0-75-y12-1.78.O,2879
0-75-y12-1.78.O,4460
0-75-y12-1.78.O,0453
0-75-y12-1.78.O,4477
