route_short_name,trip_headsign
0047,Irish Times - Belarmine Plaza
0047,Belarmine Plaza - Irish Times
066B,Holles Street - Alensgrove
066B,Alensgrove - Holles Street
076A,Shopping Centre - The Square
076A,The Square - Shopping Centre
0084,Frascati Road - Sea Road
0084,Sea Road - Frascati Road
084X,Sea Road - O'Connell Bridge
084X,Lwr. Grafton Street Trinity College Main - Beechdale
0009,Lanesborough - Greenhills College
0009,Greenhills College - Lanesborough
0011,St. Pappin's Green - Arena Road
0011,Arena Road - St. Pappin's Green
0037,Burlington Place - Shopping Centre
0037,Shopping Centre - Burlington Place
054A,Garda Station - Marlfield Drive
054A,Marlfield - Garda Station
0063,Queen's Road - Ballycorus Rd
0063,Ballycorus Rd - Queen's Road
0086,Junction Great Denmark Street [Virtual S - Rochestown Avenue Opposite Granitefield
0118,Ballycorus Rd - D'Olier Street Junction Burgh Quay (Stop
0140,St. Margaret's Rd - Dartry Road
0140,Dartry Road - St. Margaret's Rd
0151,East Road 13 metres north PLP4 - Foxborough
0151,Foxborough - Caledon Road
027B,Opposite Marlborough Street (Stop ED) - Bus Garage
027B,Bus Garage - Abbey Theatre
045A,Rock Valley - Queen's Road
045A,Queen's Road - Rock Valley
016C,Terminal 1 - Cathedral Street
016C,Stone Masons Way - St. Martin's Chapel
0025,Holles Street - Meadowview Grove
0025,Meadowview Grove - Holles Street
025A,Holles Street - Esker Drive
025A,Esker Drive - Holles Street
0041,National Lottery - Abbeyvale
0041,Abbeyvale - National Lottery
0044,Glentow Road - National School
0044,National School - Glentow Road
0065,Cinema - Valleymount Road
0065,Valleymount Road - Cinema
079A,Bedford Row - Park West Road
079A,Park West Road - Bedford Row
0145,Rock Valley - Victoria Quay
0145,Victoria Quay - Rock Valley
0236,Shopping Centre - Shopping Centre
0238,Carlton Hotel - FÁS Centre
0238,FÁS Centre - Carlton Hotel
0116,Leeson Street - Whitechurch Walk
0116,Whitechurch Walk - Junction Great Denmark Street [Virtual S
0120,RDS - Rathbourne Avenue
0120,Rathbourne Way - Northumberland Road
027A,Opposite Marlborough Street (Stop ED) - Malahide Road
027A,Malahide Road - Abbey Theatre
015A,Barrow Street - Limekiln Road
015A,Limekiln Road - Sir John Rogerson's Qy
015B,Sir John Rogerson's Qy - Stocking Avenue Opposite Dalriada Estate
015B,Stocking Avenue Opposite Dalriada Estate - Sir John Rogerson's Qy
0239,Shopping Centre - Liffey Valley Shop Cen
0239,Liffey Valley Shop Cen - Shopping Centre
0270,Shopping Centre - Navan Road
0270,Navan Road - Shopping Centre
0004,Bus Garage - Richmond Grove
0004,Richmond Grove - Bus Garage
